code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19
CK304,Law and Irish,588.0,540.0,462.0,Points decrease,48.0,126.0,78.0
CK307,Law and Business,589.0,556.0,522.0,Points decrease,33.0,67.0,34.0
CK401,Computer Science,503.0,468.0,402.0,Points decrease,35.0,101.0,66.0
CK402,Biological and Chemical Sciences,555.0,510.0,498.0,Points decrease,45.0,57.0,12.0
CK404,Biological  Earth and Environmental Sciences,500.0,467.0,412.0,Points decrease,33.0,88.0,55.0
CK405,Genetics,543.0,487.0,476.0,Points decrease,56.0,67.0,11.0
CK406,Chemical Sciences,532.0,485.0,457.0,Points decrease,47.0,75.0,28.0
CK407,Mathematical Sciences,566.0,566.0,531.0,Points decrease,0.0,35.0,35.0
CK408,Physics and Astrophysics,566.0,554.0,511.0,Points decrease,12.0,55.0,43.0
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0,413.0,Points decrease,33.0,52.0,19.0
CK411,Data Science and Analytics,531.0,510.0,509.0,Points decrease,21.0,22.0,1.0
CK412,Agricultural Science,506.0,496.0,457.0,Points decrease,10.0,49.0,39.0
CK504,Nutritional Sciences,555.0,518.0,492.0,Points decrease,37.0,63.0,26.0
CK505,Food Science,463.0,441.0,444.0,Points decrease,22.0,19.0,-3.0
CK600,Engineering,510.0,487.0,465.0,Points decrease,23.0,45.0,22.0
CK606,Architecture - Offered jointly by UCC and CIT,543.0,484.0,465.0,Points decrease,59.0,78.0,19.0
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,731.0,729.0,Points decrease,7.0,9.0,2.0
CK702,Dentistry,625.0,613.0,590.0,Points decrease,12.0,35.0,23.0
CK703,Pharmacy,613.0,590.0,577.0,Points decrease,23.0,36.0,13.0
CK704,Occupational Therapy,601.0,566.0,532.0,Points decrease,35.0,69.0,34.0
CK705,Speech and Language Therapy,568.0,520.0,509.0,Points decrease,48.0,59.0,11.0
CK706,Public Health Sciences,500.0,454.0,419.0,Points decrease,46.0,81.0,35.0
CK707,Medical and Health Sciences,578.0,542.0,510.0,Points decrease,36.0,68.0,32.0
CK710,General Nursing,498.0,454.0,440.0,Points decrease,44.0,58.0,14.0
CK712,Children`s and General Nursing (Integrated),565.0,533.0,499.0,Points decrease,32.0,66.0,34.0
CK720,Mental Health Nursing,455.0,423.0,398.0,Points decrease,32.0,57.0,25.0
CK730,Intellectual Disability Nursing,431.0,419.0,359.0,Points decrease,12.0,72.0,60.0
CK740,Midwifery,509.0,484.0,444.0,Points decrease,25.0,65.0,40.0
