code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21 vs 20,21 vs 19,20 vs 19,,,,,,
LM028,Criminal Justice,420,418,387,Points decrease,2,33,31,2,33,31,TRUE,TRUE,TRUE
LM029,Law Plus,530,490,473,Points decrease,40,57,17,40,57,17,TRUE,TRUE,TRUE
LM038,Psychology and Sociology,530,500,478,Points decrease,30,52,22,30,52,22,TRUE,TRUE,TRUE
LM039,Journalism and Digital Communication,432,402,388,Points decrease,30,44,14,30,44,14,TRUE,TRUE,TRUE
LM040,European Studies,409,369,350,Points decrease,40,59,19,40,59,19,TRUE,TRUE,TRUE
LM044,Applied Languages,429,442,404,Points decrease,-13,25,38,-13,25,38,TRUE,TRUE,TRUE
LM050,Business Studies (options),451,431,419,Points decrease,20,32,12,20,32,12,TRUE,TRUE,TRUE
LM056,International Business,555,528,511,Points decrease,27,44,17,27,44,17,TRUE,TRUE,TRUE
LM058,Financial Mathematics,468,403,434,Points decrease,65,34,-31,65,34,-31,TRUE,TRUE,TRUE
LM063,Technology Management,410,379,372,Points decrease,31,38,7,31,38,7,TRUE,TRUE,TRUE
LM066,Environmental Science,430,,,Points decrease,,,,430,430,0,FALSE,FALSE,TRUE
LM068,Food Science and Health,464,421,400,Points decrease,43,64,21,43,64,21,TRUE,TRUE,TRUE
LM076,Product Design and Technology (portfolio required),401,408,402,Points decrease,-7,-1,6,-7,-1,6,TRUE,TRUE,TRUE
LM077,Aeronautical Engineering,567,520,469,Points decrease,47,98,51,47,98,51,TRUE,TRUE,TRUE
LM082,Construction Management and Engineering,446,398,368,Points decrease,48,78,30,48,78,30,TRUE,TRUE,TRUE
LM089,Sport and Exercise Sciences,498,474,441,Points decrease,24,57,33,24,57,33,TRUE,TRUE,TRUE
LM090,Physical Education with concurrent Teacher Educati,552,532,498,Points decrease,20,54,34,20,54,34,TRUE,TRUE,TRUE
LM091,Languages with concurrent Teacher Education,506,517,,Points decrease,-11,,,-11,506,517,TRUE,FALSE,FALSE
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,507,478,Points decrease,14,43,29,14,43,29,TRUE,TRUE,TRUE
LM093,Equine Science,367,339,338,Points decrease,28,29,1,28,29,1,TRUE,TRUE,TRUE
LM094,Materials and Architectural Technology with concur,475,440,405,Points decrease,35,70,35,35,70,35,TRUE,TRUE,TRUE
LM095,Materials and Engineering Technology with concurre,425,367,358,Points decrease,58,67,9,58,67,9,TRUE,TRUE,TRUE
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,405,382,Points decrease,49,72,23,49,72,23,TRUE,TRUE,TRUE
LM097,Mathematics and Computer Science with concurrent T,465,402,,Points decrease,63,,,63,465,402,TRUE,FALSE,FALSE
LM099,Architecture,520,498,419,Points decrease,22,101,79,22,101,79,TRUE,TRUE,TRUE
LM100,Physiotherapy,613,589,565,Points decrease,24,48,24,24,48,24,TRUE,TRUE,TRUE
LM101,Medicine  - Graduate Entry (GAMSAT required),57,55,55,Points decrease,2,2,0,2,2,0,TRUE,TRUE,TRUE
LM102,Psychology,534,509,495,Points decrease,25,39,14,25,39,14,TRUE,TRUE,TRUE
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429,392,313,Points decrease,37,116,79,37,116,79,TRUE,TRUE,TRUE
LM105,Exercise and Health Fitness Management,441,,,Points decrease,,,,441,441,0,FALSE,FALSE,TRUE
LM115,Chemical and Biochemical Engineering,476,454,456,Points decrease,22,20,-2,22,20,-2,TRUE,TRUE,TRUE
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498,476,434,Points decrease,22,64,42,22,64,42,TRUE,TRUE,TRUE
LM118,Electronic and Computer Engineering,445,403,401,Points decrease,42,44,2,42,44,2,TRUE,TRUE,TRUE
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,351,352,Points decrease,51,50,-1,51,50,-1,TRUE,TRUE,TRUE
LM122,Creative Media and Interaction Design (Digital Des,382,327,330,Points decrease,55,52,-3,55,52,-3,TRUE,TRUE,TRUE
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498,441,412,Points decrease,57,86,29,57,86,29,TRUE,TRUE,TRUE
LM124,Mathematics (Math Science/Maths and Physics/Econom,455,437,427,Points decrease,18,28,10,18,28,10,TRUE,TRUE,TRUE
LM125,Physics (Applied Physics or Mathematics and Physic,489,404,405,Points decrease,85,84,-1,85,84,-1,TRUE,TRUE,TRUE
LM150,General Nursing,498,475,440,Points decrease,23,58,35,23,58,35,TRUE,TRUE,TRUE
LM152,Mental Health Nursing,478,419,388,Points decrease,59,90,31,59,90,31,TRUE,TRUE,TRUE
LM154,Intellectual Disability Nursing,462,420,381,Points decrease,42,81,39,42,81,39,TRUE,TRUE,TRUE
LM156,Midwifery,521,469,429,Points decrease,52,92,40,52,92,40,TRUE,TRUE,TRUE
MU001,Theology and Arts,294,290,290,Points decrease,4,4,0,4,4,0,TRUE,TRUE,TRUE
MU002,Theology,,440,292,Points decrease,,,148,-440,-292,148,FALSE,FALSE,TRUE
MH001,Education - Primary Teaching (Froebel),564,507,496,Points decrease,57,68,11,57,68,11,TRUE,TRUE,TRUE
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,441,Points decrease,,,,0,-441,-441,TRUE,FALSE,FALSE
MH003,Early Childhood - Teaching and Learning (full-time,381,,,Points decrease,,,,381,381,0,FALSE,FALSE,TRUE
MH101,Arts,338,318,316,Points decrease,20,22,2,20,22,2,TRUE,TRUE,TRUE
MH103,Music,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
MH106,Psychology - 3 years,554,521,495,Points decrease,33,59,26,33,59,26,TRUE,TRUE,TRUE
MH107,Social Science,390,346,326,Points decrease,44,64,20,44,64,20,TRUE,TRUE,TRUE
MH109,Media Studies,324,316,317,Points decrease,8,7,-1,8,7,-1,TRUE,TRUE,TRUE
MH116,Community and Youth Work (Full-Time),,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
MH201,Science,401,360,350,Points decrease,41,51,10,41,51,10,TRUE,TRUE,TRUE
MH202,Biotechnology,490,455,429,Points decrease,35,61,26,35,61,26,TRUE,TRUE,TRUE
MH203,Biological and Geographical Sciences,451,430,,Points decrease,21,,,21,451,430,TRUE,FALSE,FALSE
MH204,Physics with Astrophysics,422,422,420,Points decrease,0,2,2,0,2,2,TRUE,TRUE,TRUE
MH206,Theoretical Physics and Mathematics,521,510,498,Points decrease,11,23,12,11,23,12,TRUE,TRUE,TRUE
MH207,Data Science,444,445,434,Points decrease,-1,10,11,-1,10,11,TRUE,TRUE,TRUE
MH208,Biological and Biomedical Sciences,543,498,451,Points decrease,45,92,47,45,92,47,TRUE,TRUE,TRUE
MH209,Psychology (through Science) - 4 years,529,498,473,Points decrease,31,56,25,31,56,25,TRUE,TRUE,TRUE
MH210,Pharmaceutical and Biomedical Chemistry,510,487,446,Points decrease,23,64,41,23,64,41,TRUE,TRUE,TRUE
MH212,Science|Maths and Computer Science|Mathematics (wi,452,422,444,Points decrease,30,8,-22,30,8,-22,TRUE,TRUE,TRUE
MH304,Engineering (Computer/Electronic/Communications),351,333,371,Points decrease,18,-20,-38,18,-20,-38,TRUE,TRUE,TRUE
MH305,Product Design,326,357,358,Points decrease,-31,-32,-1,-31,-32,-1,TRUE,TRUE,TRUE
MH306,Robotics and Intelligent Devices,362,361,361,Points decrease,1,1,0,1,1,0,TRUE,TRUE,TRUE
MH401,Finance (options),370,357,352,Points decrease,13,18,5,13,18,5,TRUE,TRUE,TRUE
MH402,Quantitative Finance,476,476,476,Points decrease,0,0,0,0,0,0,TRUE,TRUE,TRUE
MH403,Accounting and Finance,424,422,402,Points decrease,2,22,20,2,22,20,TRUE,TRUE,TRUE
MH404,Business (options),441,430,400,Points decrease,11,41,30,11,41,30,TRUE,TRUE,TRUE
MH407,Business and Accounting,423,420,401,Points decrease,3,22,19,3,22,19,TRUE,TRUE,TRUE
MH411,Entrepreneurship,378,371,358,Points decrease,7,20,13,7,20,13,TRUE,TRUE,TRUE
MH501,LLB Law - four year Single Major Law programme,507,473,451,Points decrease,34,56,22,34,56,22,TRUE,TRUE,TRUE
MH502,Law (options),465,451,410,Points decrease,14,55,41,14,55,41,TRUE,TRUE,TRUE
MH601,Computer Science through Arts (options),381,352,342,Points decrease,29,39,10,29,39,10,TRUE,TRUE,TRUE
MH602,Computer Science through Science (options),400,351,357,Points decrease,49,43,-6,49,43,-6,TRUE,TRUE,TRUE
MH603,Computational Thinking,520,532,520,Points decrease,-12,0,12,-12,0,12,TRUE,TRUE,TRUE
MH801,Early Childhood - Teaching and Learning (part-time,,327,347,Points decrease,,,-20,-327,-347,-20,FALSE,FALSE,TRUE
MH802,Community and Youth Work (part-time  in service),,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
MH803,Local Studies/Community Studies (part-time  evenin,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
AS001,Education  Home Economics and Biology - with concu,542,510,456,Points decrease,32,86,54,32,86,54,TRUE,TRUE,TRUE
AS002,Education  Home Economics and Religious Ed - with,464,441,400,Points decrease,23,64,41,23,64,41,TRUE,TRUE,TRUE
AS003,Education  Home Economics and Irish - with concurr,463,440,421,Points decrease,23,42,19,23,42,19,TRUE,TRUE,TRUE
AS051,Nutrition  Food and Business Management,378,328,337,Points decrease,50,41,-9,50,41,-9,TRUE,TRUE,TRUE
AS054,Home Economics,440,408,387,Points decrease,32,53,21,32,53,21,TRUE,TRUE,TRUE
AS110,General Nursing,440,419,391,Points decrease,21,49,28,21,49,28,TRUE,TRUE,TRUE
AS130,Intellectual Disability Nursing,387,336,317,Points decrease,51,70,19,51,70,19,TRUE,TRUE,TRUE
SG141,Business,262,261,252,Points decrease,1,10,9,1,10,9,TRUE,TRUE,TRUE
SG145,Business and ICT,279,,,Points decrease,,,,279,279,0,FALSE,FALSE,TRUE
SG146,Accounting,304,309,307,Points decrease,-5,-3,2,-5,-3,2,TRUE,TRUE,TRUE
SG147,Sport with Business,288,307,269,Points decrease,-19,19,38,-19,19,38,TRUE,TRUE,TRUE
SG148,Tourism with Event Management,298,269,246,Points decrease,29,52,23,29,52,23,TRUE,TRUE,TRUE
SG150,Business in Marketing,298,,,Points decrease,,,,298,298,0,FALSE,FALSE,TRUE
SG241,Performing Arts,341,328,279,Points decrease,13,62,49,13,62,49,TRUE,TRUE,TRUE
SG242,Early Childhood Care and Education,287,279,278,Points decrease,8,9,1,8,9,1,TRUE,TRUE,TRUE
SG243,Social Care Practice,309,301,297,Points decrease,8,12,4,8,12,4,TRUE,TRUE,TRUE
SG244,Fine Art,501,505,355,Points decrease,-4,146,150,-4,146,150,TRUE,TRUE,TRUE
SG245,Creative Design,332,282,261,Points decrease,50,71,21,50,71,21,TRUE,TRUE,TRUE
SG246,Computing,316,290,295,Points decrease,26,21,-5,26,21,-5,TRUE,TRUE,TRUE
SG247,English and Psychology,319,309,308,Points decrease,10,11,1,10,11,1,TRUE,TRUE,TRUE
SG248,Sociology and Politics,298,281,282,Points decrease,17,16,-1,17,16,-1,TRUE,TRUE,TRUE
SG249,Writing and Literature,308,297,279,Points decrease,11,29,18,11,29,18,TRUE,TRUE,TRUE
SG252,Software Development,310,307,300,Points decrease,3,10,7,3,10,7,TRUE,TRUE,TRUE
SG253,Computing in Computer Networks and Cyber Security,336,324,273,Points decrease,12,63,51,12,63,51,TRUE,TRUE,TRUE
SG254,Writing and Literature Online,327,225,,Points decrease,102,,,102,327,225,TRUE,FALSE,FALSE
SG255,Law and Business,291,,,Points decrease,,,,291,291,0,FALSE,FALSE,TRUE
SG341,General Engineering,373,,,Points decrease,,,,373,373,0,FALSE,FALSE,TRUE
SG342,Civil Engineering,418,415,,Points decrease,3,,,3,418,415,TRUE,FALSE,FALSE
SG343,Quantity Surveying,300,311,261,Points decrease,-11,39,50,-11,39,50,TRUE,TRUE,TRUE
SG344,Mechanical Engineering,412,,,Points decrease,,,,412,412,0,FALSE,FALSE,TRUE
SG346,Construction Project Management and Applied Techno,313,291,289,Points decrease,22,24,2,22,24,2,TRUE,TRUE,TRUE
SG347,Architecture,403,360,309,Points decrease,43,94,51,43,94,51,TRUE,TRUE,TRUE
SG348,Interior Architecture and Design,359,316,,Points decrease,43,,,43,359,316,TRUE,FALSE,FALSE
SG349,Electronics and Self Driving Technologies,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
SG350,Robotics and Automation,384,,,Points decrease,,,,384,384,0,FALSE,FALSE,TRUE
SG442,Occupational Safety and Health,307,290,289,Points decrease,17,18,1,17,18,1,TRUE,TRUE,TRUE
SG443,Human Nutrition,376,356,357,Points decrease,20,19,-1,20,19,-1,TRUE,TRUE,TRUE
SG444,Science Undenominated,358,338,308,Points decrease,20,50,30,20,50,30,TRUE,TRUE,TRUE
SG445,Pharmaceutical Science with Drug Development,357,311,347,Points decrease,46,10,-36,46,10,-36,TRUE,TRUE,TRUE
SG447,Health Science and Physical Activity,326,328,316,Points decrease,-2,10,12,-2,10,12,TRUE,TRUE,TRUE
SG448,Forensic Investigation and Analysis,308,306,306,Points decrease,2,2,0,2,2,0,TRUE,TRUE,TRUE
SG449,Medical Biotechnology,315,341,329,Points decrease,-26,-14,12,-26,-14,12,TRUE,TRUE,TRUE
SG450,Environmental Science with Ecology (Level 8),310,300,,Points decrease,10,,,10,310,300,TRUE,FALSE,FALSE
TL801,Animation  Visual Effects and Motion Design (Level,718,281,281,Points decrease,437,437,0,437,437,0,TRUE,TRUE,TRUE
TL802,TV  Radio and New Media (Level 8),322,325,306,Points decrease,-3,16,19,-3,16,19,TRUE,TRUE,TRUE
TL810,Computing with Software Development,308,310,309,Points decrease,-2,-1,1,-2,-1,1,TRUE,TRUE,TRUE
TL811,Computing with Games Development,322,358,310,Points decrease,-36,12,48,-36,12,48,TRUE,TRUE,TRUE
TL815,Computing (Degree Award options),307,308,308,Points decrease,-1,-1,0,-1,-1,0,TRUE,TRUE,TRUE
TL823,Event Management (3 year programme),293,299,291,Points decrease,-6,2,8,-6,2,8,TRUE,TRUE,TRUE
TL831,Business Studies (Major Specialism in: Acctng or M,306,306,307,Points decrease,0,-1,-1,0,-1,-1,TRUE,TRUE,TRUE
TL842,Construction Management,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
TL844,Agricultural Engineering,301,300,311,Points decrease,1,-10,-11,1,-10,-11,TRUE,TRUE,TRUE
TL845,Civil Engineering,361,325,300,Points decrease,36,61,25,36,61,25,TRUE,TRUE,TRUE
TL847,Manufacturing Engineering,305,302,,Points decrease,3,,,3,305,302,TRUE,FALSE,FALSE
TL848,Agricultural Science,307,308,331,Points decrease,-1,-24,-23,-1,-24,-23,TRUE,TRUE,TRUE
TL851,Wildlife Biology (Degree Award options),309,309,310,Points decrease,0,-1,-1,0,-1,-1,TRUE,TRUE,TRUE
TL855,Pharmaceutical Science (Degree Award options),316,317,342,Points decrease,-1,-26,-25,-1,-26,-25,TRUE,TRUE,TRUE
TL858,Veterinary Bioscience,317,308,326,Points decrease,9,-9,-18,9,-9,-18,TRUE,TRUE,TRUE
TL871,Health and Leisure (Degree Award options),303,300,303,Points decrease,3,0,-3,3,0,-3,TRUE,TRUE,TRUE
TL872,Health and Leisure with Massage,314,309,288,Points decrease,5,26,21,5,26,21,TRUE,TRUE,TRUE
TL873,Coaching and Sports Performance,308,289,282,Points decrease,19,26,7,19,26,7,TRUE,TRUE,TRUE
TL874,Inclusive Sport and Physical Activity,341,,,Points decrease,,,,341,341,0,FALSE,FALSE,TRUE
TL880,Early Childhood Care and Education,309,307,307,Points decrease,2,2,0,2,2,0,TRUE,TRUE,TRUE
TL881,Social Care,301,308,308,Points decrease,-7,-7,0,-7,-7,0,TRUE,TRUE,TRUE
TL889,Counselling with Addiction - Mature applicants onl,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
TL890,General Nursing and Mature Applicants,463,440,407,Points decrease,23,56,33,23,56,33,TRUE,TRUE,TRUE
TL891,Mental Health Nursing and Mature Applicants,440,389,367,Points decrease,51,73,22,51,73,22,TRUE,TRUE,TRUE
WD001,Applied Computing (options),270,260,279,Points decrease,10,-9,-19,10,-9,-19,TRUE,TRUE,TRUE
WD002,Science (options),279,308,302,Points decrease,-29,-23,6,-29,-23,6,TRUE,TRUE,TRUE
WD005,Health Sciences (options),271,280,288,Points decrease,-9,-17,-8,-9,-17,-8,TRUE,TRUE,TRUE
WD006,Exercise Sciences (options),270,280,282,Points decrease,-10,-12,-2,-10,-12,-2,TRUE,TRUE,TRUE
WD007,Engineering (options),270,288,287,Points decrease,-18,-17,1,-18,-17,1,TRUE,TRUE,TRUE
WD025,Construction Management and Engineering,262,269,269,Points decrease,-7,-7,0,-7,-7,0,TRUE,TRUE,TRUE
WD027,Music,321,262,290,Points decrease,59,31,-28,59,31,-28,TRUE,TRUE,TRUE
WD048,Business (options),279,271,278,Points decrease,8,1,-7,8,1,-7,TRUE,TRUE,TRUE
WD084,Accounting,308,308,307,Points decrease,0,1,1,0,1,1,TRUE,TRUE,TRUE
WD091,Hospitality Management,225,228,210,Points decrease,-3,15,18,-3,15,18,TRUE,TRUE,TRUE
WD116,General Nursing,446,422,413,Points decrease,24,33,9,24,33,9,TRUE,TRUE,TRUE
WD117,Psychiatric Nursing,415,366,361,Points decrease,49,54,5,49,54,5,TRUE,TRUE,TRUE
WD120,Intellectual Disability Nursing,390,377,338,Points decrease,13,52,39,13,52,39,TRUE,TRUE,TRUE
WD134,International Business,267,290,289,Points decrease,-23,-22,1,-23,-22,1,TRUE,TRUE,TRUE
WD137,Design (Visual Communications),252,271,253,Points decrease,-19,-1,18,-19,-1,18,TRUE,TRUE,TRUE
WD140,Laws,280,280,290,Points decrease,0,-10,-10,0,-10,-10,TRUE,TRUE,TRUE
WD144,Architecture,309,284,283,Points decrease,25,26,1,25,26,1,TRUE,TRUE,TRUE
WD147,Pharmaceutical Science,288,293,298,Points decrease,-5,-10,-5,-5,-10,-5,TRUE,TRUE,TRUE
WD150,Criminal Justice Studies,280,270,271,Points decrease,10,9,-1,10,9,-1,TRUE,TRUE,TRUE
WD152,Visual Art,243,,253,Points decrease,,-10,,243,-10,-253,FALSE,TRUE,FALSE
WD161,Computer Forensics and Security,270,255,262,Points decrease,15,8,-7,15,8,-7,TRUE,TRUE,TRUE
WD162,Quantity Surveying,226,216,260,Points decrease,10,-34,-44,10,-34,-44,TRUE,TRUE,TRUE
WD163,Psychology,456,434,390,Points decrease,22,66,44,22,66,44,TRUE,TRUE,TRUE
WD186,Sports Coaching and Performance,261,270,276,Points decrease,-9,-15,-6,-9,-15,-6,TRUE,TRUE,TRUE
WD187,Social Science,276,272,271,Points decrease,4,5,1,4,5,1,TRUE,TRUE,TRUE
WD191,Agricultural Science,377,377,378,Points decrease,0,-1,-1,0,-1,-1,TRUE,TRUE,TRUE
WD192,Social Care Practice,271,270,279,Points decrease,1,-8,-9,1,-8,-9,TRUE,TRUE,TRUE
WD193,Marketing and Digital Media,279,271,290,Points decrease,8,-11,-19,8,-11,-19,TRUE,TRUE,TRUE
WD194,Culinary Arts,237,217,235,Points decrease,20,2,-18,20,2,-18,TRUE,TRUE,TRUE
WD195,Architectural and Building Information Modelling T,279,279,266,Points decrease,0,13,13,0,13,13,TRUE,TRUE,TRUE
WD200,Arts (options),201,,221,Points decrease,,-20,,201,-20,-221,FALSE,TRUE,FALSE
WD210,Software Systems Development,260,279,271,Points decrease,-19,-11,8,-19,-11,8,TRUE,TRUE,TRUE
WD211,Creative Computing,270,271,275,Points decrease,-1,-5,-4,-1,-5,-4,TRUE,TRUE,TRUE
WD212,Recreation and Sport Management,262,270,274,Points decrease,-8,-12,-4,-8,-12,-4,TRUE,TRUE,TRUE
WD230,Mechanical and Manufacturing Engineering,230,253,273,Points decrease,-23,-43,-20,-23,-43,-20,TRUE,TRUE,TRUE
WD231,Early Childhood Care and Education,266,,,Points decrease,,,,266,266,0,FALSE,FALSE,TRUE
WD232,Business Information Systems,261,,,Points decrease,,,,261,261,0,FALSE,FALSE,TRUE
CR126,Popular Music: Drums at CIT Cork School of Music,,801,878,Points decrease,,,-77,-801,-878,-77,FALSE,FALSE,TRUE
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,838,584,Points decrease,,,254,-838,-584,254,FALSE,FALSE,TRUE
CR128,Popular Music: Keyboards at CIT Cork School of Music,,840,839,Points decrease,,,1,-840,-839,1,FALSE,FALSE,TRUE
CR129,Popular Music: Voice at CIT Cork School of Music,,841,857,Points decrease,,,-16,-841,-857,-16,FALSE,FALSE,TRUE
DB516,Financial Services,,,328,Points decrease,,,,0,-328,-328,TRUE,FALSE,FALSE
DC201,Common Entry into Science (Undenominated Entry),,498,454,Points decrease,,,44,-498,-454,44,FALSE,FALSE,TRUE
DC239,Gaeilge Iriseoireacht agus na Meáin Dhigiteacha,,430,,Points decrease,,,,-430,0,430,FALSE,TRUE,FALSE
DK860,Music (audition),,532,499,Points decrease,,,33,-532,-499,33,FALSE,FALSE,TRUE
DL821,English Media and Cultural Studies,,212,211,Points decrease,,,1,-212,-211,1,FALSE,FALSE,TRUE
DL828,3D Design Modelmaking and Digital Art,,506,691,Points decrease,,,-185,-506,-691,-185,FALSE,FALSE,TRUE
DL829,Design for Stage and Screen (Costume Design),,593,817,Points decrease,,,-224,-593,-817,-224,FALSE,FALSE,TRUE
DL830,Design for Stage and Screen (Character Makeup Design),,939,879,Points decrease,,,60,-939,-879,60,FALSE,FALSE,TRUE
DL831,Design for Stage and Screen (Production Design),,781,893,Points decrease,,,-112,-781,-893,-112,FALSE,FALSE,TRUE
DL834,Film and Television Production,,990,933,Points decrease,,,57,-990,-933,57,FALSE,FALSE,TRUE
DN252,Dairy Business,,410,398,Points decrease,,,12,-410,-398,12,FALSE,FALSE,TRUE
DN253,Agri - Environmental Sciences,,418,403,Points decrease,,,15,-418,-403,15,FALSE,FALSE,TRUE
DN271,Forestry,,311,303,Points decrease,,,8,-311,-303,8,FALSE,FALSE,TRUE
DN272,Horticulture Landscape and Sportsturf Management,,297,252,Points decrease,,,45,-297,-252,45,FALSE,FALSE,TRUE
GC250,Communications and Media Production,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
GC305,International Hospitality Management,,253,327,Points decrease,,,-74,-253,-327,-74,FALSE,FALSE,TRUE
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,409,330,Points decrease,,,79,-409,-330,79,FALSE,FALSE,TRUE
GY112,Arts with Film Studies,,321,338,Points decrease,,,-17,-321,-338,-17,FALSE,FALSE,TRUE
GY120,Arts (Child Youth and Family: Policy and Practice),,350,309,Points decrease,,,41,-350,-309,41,FALSE,FALSE,TRUE
GY121,Arts (Children`s Studies),,356,356,Points decrease,,,0,-356,-356,0,FALSE,FALSE,TRUE
GY124,Arts (Arts with Data Science),,454,434,Points decrease,,,20,-454,-434,20,FALSE,FALSE,TRUE
GY126,Arts (English and Media Studies),,391,418,Points decrease,,,-27,-391,-418,-27,FALSE,FALSE,TRUE
GY131,Arts (History and Globalisation Studies),,360,340,Points decrease,,,20,-360,-340,20,FALSE,FALSE,TRUE
LC401,Early Childhood Education and Care,,297,298,Points decrease,,,-1,-297,-298,-1,FALSE,FALSE,TRUE
LC414,Data Analytics and Cyber Security,,236,,Points decrease,,,,-236,0,236,FALSE,TRUE,FALSE
LC434,Environmental Science and Agriculture,,297,278,Points decrease,,,19,-297,-278,19,FALSE,FALSE,TRUE
LC613,Early Childhood Education and Care,,242,346,Points decrease,,,-104,-242,-346,-104,FALSE,FALSE,TRUE
MH405,Equine Business,,357,357,Points decrease,,,0,-357,-357,0,FALSE,FALSE,TRUE
SG142,Business in International Marketing and Languages (French),,279,270,Points decrease,,,9,-279,-270,9,FALSE,FALSE,TRUE
SG144,Business in International Marketing and Languages (Spanish),,270,280,Points decrease,,,-10,-270,-280,-10,FALSE,FALSE,TRUE
SG250,Application Design and User Experience,,412,290,Points decrease,,,122,-412,-290,122,FALSE,FALSE,TRUE
SG251,Computing (Smart Technologies),,327,303,Points decrease,,,24,-327,-303,24,FALSE,FALSE,TRUE
TR012,History and Political Science,,555,532,Points decrease,,,23,-555,-532,23,FALSE,FALSE,TRUE
TR017,Law and Business,,602,576,Points decrease,,,26,-602,-576,26,FALSE,FALSE,TRUE
TR020,Law and Political Science,,602,567,Points decrease,,,35,-602,-567,35,FALSE,FALSE,TRUE
TR029,Political Science and Geography,,526,477,Points decrease,,,49,-526,-477,49,FALSE,FALSE,TRUE
TR082,Computer Science and Business,,555,510,Points decrease,,,45,-555,-510,45,FALSE,FALSE,TRUE
TR083,Sociology and Social Policy,,498,451,Points decrease,,,47,-498,-451,47,FALSE,FALSE,TRUE
TR111,Ancient History and Archaeology/Geography,,352,,Points decrease,,,,-352,0,352,FALSE,TRUE,FALSE
TR112,Ancient History and Archaeology/History,,529,,Points decrease,,,,-529,0,529,FALSE,TRUE,FALSE
TR113,Ancient History and Archaeology/History of Art and Architecture,,337,,Points decrease,,,,-337,0,337,FALSE,TRUE,FALSE
TR114,Ancient History and Archaeology/Modern Language,,337,,Points decrease,,,,-337,0,337,FALSE,TRUE,FALSE
TR117,Ancient History and Archaeology/Religion,,342,,Points decrease,,,,-342,0,342,FALSE,TRUE,FALSE
TR166,Classical Civilisation/English Literature,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR173,Classical Civilisation/History of Art and Architecture,,335,,Points decrease,,,,-335,0,335,FALSE,TRUE,FALSE
TR177,Classical Civilisation/Modern Language,,335,,Points decrease,,,,-335,0,335,FALSE,TRUE,FALSE
TR179,Classical Civilisation/Philosophy,,499,,Points decrease,,,,-499,0,499,FALSE,TRUE,FALSE
TR198,Economics/Geography,,534,,Points decrease,,,,-534,0,534,FALSE,TRUE,FALSE
TR202,Economics/History,,534,,Points decrease,,,,-534,0,534,FALSE,TRUE,FALSE
TR207,Economics/Mathematics,,566,,Points decrease,,,,-566,0,566,FALSE,TRUE,FALSE
TR208,Economics/Modern Language,,534,,Points decrease,,,,-534,0,534,FALSE,TRUE,FALSE
TR209,Economics/Philosophy,,534,,Points decrease,,,,-534,0,534,FALSE,TRUE,FALSE
TR212,Economics/Sociology,,534,,Points decrease,,,,-534,0,534,FALSE,TRUE,FALSE
TR228,Classical Languages/English Literature,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR231,Classical Languages/History of Art and Architecture,,349,,Points decrease,,,,-349,0,349,FALSE,TRUE,FALSE
TR233,Classical Languages/Middle EasternJewish and Islamic Civilisations,,349,,Points decrease,,,,-349,0,349,FALSE,TRUE,FALSE
TR239,Classical Languages/Modern Language,,349,,Points decrease,,,,-349,0,349,FALSE,TRUE,FALSE
TR262,English Literature/History,,529,,Points decrease,,,,-529,0,529,FALSE,TRUE,FALSE
TR263,English Literature/History of Art and Architecture,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR269,English Literature/Philosophy,,499,,Points decrease,,,,-499,0,499,FALSE,TRUE,FALSE
TR272,English Literature/Sociology,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR276,English Literature/Drama Studies,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR277,English Literature/Modern Language,,498,,Points decrease,,,,-498,0,498,FALSE,TRUE,FALSE
TR311,Film/Drama Studies,,521,,Points decrease,,,,-521,0,521,FALSE,TRUE,FALSE
TR312,Film/English Literature,,521,,Points decrease,,,,-521,0,521,FALSE,TRUE,FALSE
TR320,Film/Music,,521,,Points decrease,,,,-521,0,521,FALSE,TRUE,FALSE
TR322,Geography/History,,529,,Points decrease,,,,-529,0,529,FALSE,TRUE,FALSE
TR323,Drama Studies/Modern Language,,473,,Points decrease,,,,-473,0,473,FALSE,TRUE,FALSE
