,code,title,pointsR1,pointsR2
328,NC030,EarlyChildhoodEducationandCare,251.0,251.0
329,RC001,Medicine-UndergraduateEntry(HPTrequired),741.0,740.0
330,RC004,Physiotherapy,589.0,589.0
331,RC005,Pharmacy,613.0,613.0
332,RC101,Medicine-GraduateEntry(GMSTrequired),,
333,NM801,MontessoriEducation,262.0,
334,NM802,Psychology,228.0,
335,TU801,SustainableEnergyEngineering,235.0,
336,TU802,ElectricalServicesandEnergyManagement,309.0,
337,TU804,Engineering(CommonEntrywithwardoptions),270.0,
338,TU805,Engineering(GeneralEntry),466.0,465.0
339,TU807,ComputerEngineeringinMobileSystems,274.0,
340,TU810,MechatronicEngineering,271.0,
341,TU811,ProductDesign,440.0,434.0
342,TU812,DesignTechnologyandInnovation,278.0,
343,TU814,SustainableTransportManagement,253.0,253.0
344,TU828,MechanicalEngineering(GeneralEntry),300.0,
345,TU829,ElectronicEngineering(GeneralEntry),248.0,248.0
346,TU831,rchitecturalTechnology,423.0,
347,TU832,rchitecture(SuitabilityTestandInterview),644.0,638.0
348,TU833,ConstructionManagement,396.0,
349,TU834,GeographicScience,315.0,
350,TU835,PlanningandEnvironmentalManagement,330.0,
351,TU836,PropertyEconomics(ValuationSurveying),411.0,
352,TU837,uantitySurveyingandConstructionEconomics,413.0,
353,TU838,SustainableTimberTechnology,307.0,271.0
354,TU851,nalyticalChemistry(EnvironmentalForensicand,400.0,
355,TU852,ChemicalScienceswithMedicinalChemistry,477.0,
356,TU854,Science(GeneralEntry),510.0,
357,TU855,SciencewithNanotechnology,322.0,
358,TU856,ComputerScience,499.0,
359,TU857,ComputerScience(Infrastructure),403.0,
360,TU858,ComputerScience(International),395.0,
361,TU859,Computing,251.0,
362,TU860,Computing(InformationTechnology),270.0,
363,TU861,ComputingwithLanguage(French/German/Spanish),235.0,235.0
364,TU862,ComputingwithrtificialIntelligenceMachineLea,262.0,
365,TU863,DigitalForensicsandCyberSecurity,282.0,
366,TU864,DNandForensicnalysis,500.0,441.0
367,TU865,CloudComputing,235.0,
368,TU866,BiomedicalandMolecularDiagnostics,522.0,
369,TU867,BiomedicalScience,576.0,566.0
370,TU868,ClinicalMeasurementScience,542.0,
371,TU869,EnvironmentalHealth,387.0,
372,TU870,HumanNutritionandDietetics,601.0,
373,TU871,Optometry,532.0,
374,TU872,PublicHealthNutrition,487.0,
375,TU874,MathematicalSciences,294.0,294.0
376,TU875,PharmaceuticalHealthcare,451.0,
377,TU876,PharmaceuticalScience,445.0,
378,TU877,PhysicsTechnology,314.0,314.0
379,TU878,PhysicswithEnergyandEnvironment,339.0,
380,TU879,PhysicswithMedicalPhysicsandBioengineering,346.0,
381,TU880,PhysicswithDataScience,412.0,
382,TU881,FoodInnovation,309.0,
383,TU882,NutraceuticalsinHealthandNutrition,380.0,
384,TU902,Business(options),270.0,
385,TU903,BusinessandManagement,477.0,
386,TU904,BusinessandLaw,462.0,
387,TU905,EconomicsandFinance,460.0,
388,TU906,HumanResourceManagement,386.0,377.0
389,TU907,LogisticsandSupplyChainManagement,300.0,
390,TU910,ccounting,420.0,
391,TU912,Businessnalytics,331.0,311.0
392,TU914,BusinessComputing,322.0,
393,TU917,Law(LLB)withaLanguage,356.0,
394,TU918,Law(LLB),463.0,
395,TU919,dvertisingandMarketingCommunications,219.0,
396,TU920,DigitalMarketing,270.0,
397,TU921,DigitalMarketingTechnologies,230.0,
398,TU922,Marketing,412.0,
399,TU924,E-CommerceinRetailing,307.0,
400,TU925,RetailandServicesManagement,307.0,
401,TU932,Business(options),211.0,
402,TU933,ccountingandFinance(campusoptions),251.0,
403,TU935,SportsManagementandCoaching,300.0,
404,TU936,SportsScienceandHealth,484.0,
405,TU941,BotanicalCuisine,311.0,
