code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
TR031,,579.0,531.0,566.0,,48.0,13.0,-35.0,Increase,Decrease,Increase
TR032,,556.0,510.0,487.0,,46.0,69.0,23.0,Increase,Increase,Increase
TR033,,566.0,509.0,465.0,,57.0,101.0,44.0,Increase,Increase,Increase
TR034,,625.0,613.0,589.0,,12.0,36.0,24.0,Increase,Increase,Increase
TR035,,590.0,543.0,554.0,,47.0,36.0,-11.0,Increase,Decrease,Increase
TR038,,589.0,532.0,499.0,,57.0,90.0,33.0,Increase,Increase,Increase
TR039,,443.0,454.0,435.0,,-11.0,8.0,19.0,Decrease,Increase,Increase
TR040,,520.0,466.0,485.0,,54.0,35.0,-19.0,Increase,Decrease,Increase
TR041,,417.0,368.0,347.0,,49.0,70.0,21.0,Increase,Increase,Increase
TR042,,531.0,489.0,,,42.0,,,Increase,Course for 1 year only,Course for 1 year only
TR043,,498.0,393.0,,,105.0,,,Increase,Course for 1 year only,Course for 1 year only
TR051,,743.0,735.0,730.0,,8.0,13.0,5.0,Increase,Increase,Increase
TR052,,625.0,613.0,590.0,,12.0,35.0,23.0,Increase,Increase,Increase
TR053,,590.0,566.0,533.0,,24.0,57.0,33.0,Increase,Increase,Increase
TR054,,578.0,533.0,500.0,,45.0,78.0,33.0,Increase,Increase,Increase
TR055,,577.0,543.0,510.0,,34.0,67.0,33.0,Increase,Increase,Increase
TR056,,601.0,565.0,543.0,,36.0,58.0,22.0,Increase,Increase,Increase
TR060,,578.0,543.0,510.0,,35.0,68.0,33.0,Increase,Increase,Increase
TR061,,558.0,517.0,488.0,,41.0,70.0,29.0,Increase,Increase,Increase
TR062,,495.0,473.0,435.0,,22.0,60.0,38.0,Increase,Increase,Increase
TR063,,554.0,498.0,498.0,,56.0,56.0,0.0,Increase,No change,Increase
TR064,,555.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TR072,,613.0,590.0,555.0,,23.0,58.0,35.0,Increase,Increase,Increase
TR080,,613.0,589.0,565.0,,24.0,48.0,24.0,Increase,Increase,Increase
TR081,,577.0,543.0,518.0,,34.0,59.0,25.0,Increase,Increase,Increase
TR084,,497.0,462.0,420.0,,35.0,77.0,42.0,Increase,Increase,Increase
TR085,,564.0,540.0,509.0,,24.0,55.0,31.0,Increase,Increase,Increase
TR086,,530.0,509.0,474.0,,21.0,56.0,35.0,Increase,Increase,Increase
TR087,,487.0,474.0,467.0,,13.0,20.0,7.0,Increase,Increase,Increase
TR089,,391.0,444.0,393.0,,-53.0,-2.0,51.0,Decrease,Increase,Decrease
TR090,,566.0,531.0,510.0,,35.0,56.0,21.0,Increase,Increase,Increase
TR091,,462.0,429.0,393.0,,33.0,69.0,36.0,Increase,Increase,Increase
TR093,,473.0,430.0,378.0,,43.0,95.0,52.0,Increase,Increase,Increase
TR095,,442.0,408.0,358.0,,34.0,84.0,50.0,Increase,Increase,Increase
TR097,,412.0,396.0,346.0,,16.0,66.0,50.0,Increase,Increase,Increase
TR911,,531.0,511.0,476.0,,20.0,55.0,35.0,Increase,Increase,Increase
TR913,,521.0,478.0,423.0,,43.0,98.0,55.0,Increase,Increase,Increase
DN100,,555.0,510.0,473.0,,45.0,82.0,37.0,Increase,Increase,Increase
DN120,,463.0,407.0,353.0,,56.0,110.0,54.0,Increase,Increase,Increase
DN130,,445.0,407.0,367.0,,38.0,78.0,40.0,Increase,Increase,Increase
DN150,,565.0,531.0,511.0,,34.0,54.0,20.0,Increase,Increase,Increase
DN200,,577.0,533.0,521.0,,44.0,56.0,12.0,Increase,Increase,Increase
DN201,,554.0,510.0,488.0,,44.0,66.0,22.0,Increase,Increase,Increase
DN230,,613.0,601.0,577.0,,12.0,36.0,24.0,Increase,Increase,Increase
DN240,,510.0,440.0,,,70.0,,,Increase,Course for 1 year only,Course for 1 year only
DN250,,454.0,456.0,420.0,,-2.0,34.0,36.0,Decrease,Increase,Increase
DN261,,531.0,477.0,434.0,,54.0,97.0,43.0,Increase,Increase,Increase
DN262,,566.0,531.0,493.0,,35.0,73.0,38.0,Increase,Increase,Increase
DN300,,601.0,589.0,567.0,,12.0,34.0,22.0,Increase,Increase,Increase
DN301,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DN310,,521.0,478.0,441.0,,43.0,80.0,37.0,Increase,Increase,Increase
DN400,,743.0,737.0,735.0,,6.0,8.0,2.0,Increase,Increase,Increase
DN401,,61.0,,59.0,,,2.0,,Course for 1 year only,Course for 1 year only,Increase
DN410,,566.0,534.0,507.0,,32.0,59.0,27.0,Increase,Increase,Increase
DN411,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DN420,,601.0,578.0,542.0,,23.0,59.0,36.0,Increase,Increase,Increase
DN425,,544.0,510.0,488.0,,34.0,56.0,22.0,Increase,Increase,Increase
DN430,,484.0,455.0,436.0,,29.0,48.0,19.0,Increase,Increase,Increase
DN440,,613.0,590.0,565.0,,23.0,48.0,25.0,Increase,Increase,Increase
DN450,,462.0,429.0,398.0,,33.0,64.0,31.0,Increase,Increase,Increase
DN451,,533.0,509.0,462.0,,24.0,71.0,47.0,Increase,Increase,Increase
DN452,,510.0,489.0,409.0,,21.0,101.0,80.0,Increase,Increase,Increase
DN453,,442.0,397.0,379.0,,45.0,63.0,18.0,Increase,Increase,Increase
DN520,,381.0,310.0,336.0,,71.0,45.0,-26.0,Increase,Decrease,Increase
DN530,,397.0,340.0,348.0,,57.0,49.0,-8.0,Increase,Decrease,Increase
DN541,,320.0,303.0,348.0,,17.0,-28.0,-45.0,Increase,Decrease,Decrease
DN600,,576.0,546.0,520.0,,30.0,56.0,26.0,Increase,Increase,Increase
DN610,,573.0,545.0,521.0,,28.0,52.0,24.0,Increase,Increase,Increase
DN650,,555.0,521.0,498.0,,34.0,57.0,23.0,Increase,Increase,Increase
DN660,,555.0,517.0,507.0,,38.0,48.0,10.0,Increase,Increase,Increase
DN670,,625.0,613.0,601.0,,12.0,24.0,12.0,Increase,Increase,Increase
DN700,,475.0,421.0,388.0,,54.0,87.0,33.0,Increase,Increase,Increase
DN710,,534.0,498.0,476.0,,36.0,58.0,22.0,Increase,Increase,Increase
DN720,,566.0,530.0,517.0,,36.0,49.0,13.0,Increase,Increase,Increase
DN750,,421.0,378.0,330.0,,43.0,91.0,48.0,Increase,Increase,Increase
DK810,,307.0,305.0,306.0,,2.0,1.0,-1.0,Increase,Decrease,Increase
DK816,,301.0,300.0,300.0,,1.0,1.0,0.0,Increase,No change,Increase
DK820,,309.0,311.0,307.0,,-2.0,2.0,4.0,Decrease,Increase,Increase
DK821,,320.0,302.0,301.0,,18.0,19.0,1.0,Increase,Increase,Increase
DK822,,320.0,307.0,,,13.0,,,Increase,Course for 1 year only,Course for 1 year only
DK830,,305.0,336.0,302.0,,-31.0,3.0,34.0,Decrease,Increase,Increase
DK831,,368.0,389.0,301.0,,-21.0,67.0,88.0,Decrease,Increase,Increase
DK832,,358.0,387.0,300.0,,-29.0,58.0,87.0,Decrease,Increase,Increase
DK843,,404.0,340.0,303.0,,64.0,101.0,37.0,Increase,Increase,Increase
DK844,,336.0,305.0,,,31.0,,,Increase,Course for 1 year only,Course for 1 year only
DK845,,331.0,304.0,,,27.0,,,Increase,Course for 1 year only,Course for 1 year only
DK846,,371.0,391.0,,,-20.0,,,Decrease,Course for 1 year only,Course for 1 year only
DK850,,303.0,317.0,,,-14.0,,,Decrease,Course for 1 year only,Course for 1 year only
DK861,,302.0,302.0,300.0,,0.0,2.0,2.0,No change,Increase,Increase
DK862,,322.0,301.0,300.0,,21.0,22.0,1.0,Increase,Increase,Increase
DK863,,336.0,308.0,300.0,,28.0,36.0,8.0,Increase,Increase,Increase
DK864,,308.0,300.0,300.0,,8.0,8.0,0.0,Increase,No change,Increase
DK865,,352.0,301.0,301.0,,51.0,51.0,0.0,Increase,No change,Increase
DK870,,440.0,403.0,392.0,,37.0,48.0,11.0,Increase,Increase,Increase
DK872,,367.0,336.0,300.0,,31.0,67.0,36.0,Increase,Increase,Increase
DK874,,398.0,356.0,356.0,,42.0,42.0,0.0,Increase,No change,Increase
DK876,,300.0,321.0,305.0,,-21.0,-5.0,16.0,Decrease,Increase,Decrease
DK877,,482.0,440.0,398.0,,42.0,84.0,42.0,Increase,Increase,Increase
DK880,,301.0,328.0,300.0,,-27.0,1.0,28.0,Decrease,Increase,Increase
DK882,,342.0,310.0,303.0,,32.0,39.0,7.0,Increase,Increase,Increase
DK883,,373.0,358.0,300.0,,15.0,73.0,58.0,Increase,Increase,Increase
DK884,,348.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DK885,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DK886,,379.0,301.0,,,78.0,,,Increase,Course for 1 year only,Course for 1 year only
DK887,,377.0,330.0,,,47.0,,,Increase,Course for 1 year only,Course for 1 year only
GA181,,303.0,309.0,303.0,,-6.0,0.0,6.0,Decrease,Increase,No change
GA182,,285.0,287.0,290.0,,-2.0,-5.0,-3.0,Decrease,Decrease,Decrease
GA183,,298.0,296.0,309.0,,2.0,-11.0,-13.0,Increase,Decrease,Decrease
GA184,,300.0,307.0,307.0,,-7.0,-7.0,0.0,Decrease,No change,Decrease
GA185,,318.0,293.0,307.0,,25.0,11.0,-14.0,Increase,Decrease,Increase
GA186,,287.0,280.0,297.0,,7.0,-10.0,-17.0,Increase,Decrease,Decrease
GA187,,291.0,281.0,280.0,,10.0,11.0,1.0,Increase,Increase,Increase
GA281,,310.0,304.0,287.0,,6.0,23.0,17.0,Increase,Increase,Increase
GA282,,252.0,220.0,238.0,,32.0,14.0,-18.0,Increase,Decrease,Increase
GA283,,790.0,679.0,260.0,,111.0,530.0,419.0,Increase,Increase,Increase
GA284,,331.0,303.0,309.0,,28.0,22.0,-6.0,Increase,Decrease,Increase
GA285,,406.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GA380,,218.0,242.0,225.0,,-24.0,-7.0,17.0,Decrease,Increase,Decrease
GA381,,252.0,278.0,261.0,,-26.0,-9.0,17.0,Decrease,Increase,Decrease
GA382,,235.0,206.0,225.0,,29.0,10.0,-19.0,Increase,Decrease,Increase
GA384,,230.0,212.0,209.0,,18.0,21.0,3.0,Increase,Increase,Increase
GA480,,302.0,260.0,260.0,,42.0,42.0,0.0,Increase,No change,Increase
GA482,,304.0,288.0,280.0,,16.0,24.0,8.0,Increase,Increase,Increase
GA483,,281.0,265.0,251.0,,16.0,30.0,14.0,Increase,Increase,Increase
GA484,,377.0,290.0,270.0,,87.0,107.0,20.0,Increase,Increase,Increase
GA580,,300.0,300.0,301.0,,0.0,-1.0,-1.0,No change,Decrease,Decrease
GA680,,400.0,330.0,336.0,,70.0,64.0,-6.0,Increase,Decrease,Increase
GA681,,312.0,293.0,281.0,,19.0,31.0,12.0,Increase,Increase,Increase
GA682,,331.0,313.0,331.0,,18.0,0.0,-18.0,Increase,Decrease,No change
GA683,,304.0,309.0,301.0,,-5.0,3.0,8.0,Decrease,Increase,Increase
GA684,,413.0,340.0,346.0,,73.0,67.0,-6.0,Increase,Decrease,Increase
GA685,,336.0,309.0,,,27.0,,,Increase,Course for 1 year only,Course for 1 year only
GA780,,366.0,327.0,300.0,,39.0,66.0,27.0,Increase,Increase,Increase
GA781,,381.0,337.0,317.0,,44.0,64.0,20.0,Increase,Increase,Increase
GA782,,356.0,336.0,307.0,,20.0,49.0,29.0,Increase,Increase,Increase
GA783,,301.0,363.0,373.0,,-62.0,-72.0,-10.0,Decrease,Decrease,Decrease
GA784,,445.0,372.0,327.0,,73.0,118.0,45.0,Increase,Increase,Increase
GA785,,517.0,473.0,451.0,,44.0,66.0,22.0,Increase,Increase,Increase
GA786,,408.0,317.0,300.0,,91.0,108.0,17.0,Increase,Increase,Increase
GA787,,310.0,270.0,275.0,,40.0,35.0,-5.0,Increase,Decrease,Increase
GA788,,270.0,274.0,270.0,,-4.0,0.0,4.0,Decrease,Increase,No change
GA789,,340.0,287.0,297.0,,53.0,43.0,-10.0,Increase,Decrease,Increase
GA790,,376.0,356.0,350.0,,20.0,26.0,6.0,Increase,Increase,Increase
GA791,,368.0,368.0,364.0,,0.0,4.0,4.0,No change,Increase,Increase
GA880,,440.0,429.0,389.0,,11.0,51.0,40.0,Increase,Increase,Increase
GA882,,369.0,367.0,346.0,,2.0,23.0,21.0,Increase,Increase,Increase
GA885,,269.0,252.0,210.0,,17.0,59.0,42.0,Increase,Increase,Increase
GA887,,201.0,244.0,228.0,,-43.0,-27.0,16.0,Decrease,Increase,Decrease
GA889,,265.0,266.0,260.0,,-1.0,5.0,6.0,Decrease,Increase,Increase
GA890,,281.0,270.0,278.0,,11.0,3.0,-8.0,Increase,Decrease,Increase
GA891,,261.0,244.0,,,17.0,,,Increase,Course for 1 year only,Course for 1 year only
GA892,8,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GA980,,410.0,377.0,376.0,,33.0,34.0,1.0,Increase,Increase,Increase
GA981,,346.0,,271.0,,,75.0,,Course for 1 year only,Course for 1 year only,Increase
GA982,,360.0,,270.0,,,90.0,,Course for 1 year only,Course for 1 year only,Increase
GA983,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GA984,,486.0,284.0,,,202.0,,,Increase,Course for 1 year only,Course for 1 year only
GY101,,327.0,300.0,300.0,,27.0,27.0,0.0,Increase,No change,Increase
GY104,,564.0,523.0,507.0,,41.0,57.0,16.0,Increase,Increase,Increase
GY105,,357.0,301.0,318.0,,56.0,39.0,-17.0,Increase,Decrease,Increase
GY109,,413.0,403.0,411.0,,10.0,2.0,-8.0,Increase,Decrease,Increase
GY110,,387.0,357.0,382.0,,30.0,5.0,-25.0,Increase,Decrease,Increase
GY111,,421.0,330.0,402.0,,91.0,19.0,-72.0,Increase,Decrease,Increase
GY113,,413.0,368.0,338.0,,45.0,75.0,30.0,Increase,Increase,Increase
GY115,,300.0,387.0,328.0,,-87.0,-28.0,59.0,Decrease,Increase,Decrease
GY118,,453.0,451.0,410.0,,2.0,43.0,41.0,Increase,Increase,Increase
GY119,,484.0,400.0,410.0,,84.0,74.0,-10.0,Increase,Decrease,Increase
GY122,,410.0,361.0,308.0,,49.0,102.0,53.0,Increase,Increase,Increase
GY123,,419.0,358.0,357.0,,61.0,62.0,1.0,Increase,Increase,Increase
GY125,,403.0,328.0,324.0,,75.0,79.0,4.0,Increase,Increase,Increase
GY127,,430.0,401.0,387.0,,29.0,43.0,14.0,Increase,Increase,Increase
GY128,,346.0,352.0,370.0,,-6.0,-24.0,-18.0,Decrease,Decrease,Decrease
GY129,,465.0,420.0,408.0,,45.0,57.0,12.0,Increase,Increase,Increase
GY130,,462.0,408.0,400.0,,54.0,62.0,8.0,Increase,Increase,Increase
GY132,,465.0,407.0,402.0,,58.0,63.0,5.0,Increase,Increase,Increase
GY133,,454.0,422.0,401.0,,32.0,53.0,21.0,Increase,Increase,Increase
GY134,,425.0,410.0,,,15.0,,,Increase,Course for 1 year only,Course for 1 year only
GY135,,442.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GY136,,526.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GY201,,476.0,433.0,420.0,,43.0,56.0,13.0,Increase,Increase,Increase
GY202,,520.0,484.0,484.0,,36.0,36.0,0.0,Increase,No change,Increase
GY203,,518.0,489.0,489.0,,29.0,29.0,0.0,Increase,No change,Increase
GY204,,506.0,495.0,484.0,,11.0,22.0,11.0,Increase,Increase,Increase
GY206,,509.0,465.0,431.0,,44.0,78.0,34.0,Increase,Increase,Increase
GY207,,543.0,509.0,486.0,,34.0,57.0,23.0,Increase,Increase,Increase
GY208,,508.0,473.0,473.0,,35.0,35.0,0.0,Increase,No change,Increase
GY209,,551.0,530.0,509.0,,21.0,42.0,21.0,Increase,Increase,Increase
GY250,,510.0,487.0,436.0,,23.0,74.0,51.0,Increase,Increase,Increase
GY251,,542.0,499.0,473.0,,43.0,69.0,26.0,Increase,Increase,Increase
GY252,,565.0,520.0,510.0,,45.0,55.0,10.0,Increase,Increase,Increase
GY253,,506.0,509.0,,,-3.0,,,Decrease,Course for 1 year only,Course for 1 year only
GY254,,548.0,530.0,,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
GY261,,503.0,497.0,486.0,,6.0,17.0,11.0,Increase,Increase,Increase
GY262,,709.0,681.0,671.0,,28.0,38.0,10.0,Increase,Increase,Increase
GY301,,489.0,433.0,400.0,,56.0,89.0,33.0,Increase,Increase,Increase
GY303,,613.0,556.0,533.0,,57.0,80.0,23.0,Increase,Increase,Increase
GY304,,498.0,465.0,473.0,,33.0,25.0,-8.0,Increase,Decrease,Increase
GY308,,431.0,408.0,413.0,,23.0,18.0,-5.0,Increase,Decrease,Increase
GY309,,509.0,487.0,454.0,,22.0,55.0,33.0,Increase,Increase,Increase
GY310,,467.0,419.0,409.0,,48.0,58.0,10.0,Increase,Increase,Increase
GY313,,412.0,412.0,402.0,,0.0,10.0,10.0,No change,Increase,Increase
GY314,,422.0,403.0,402.0,,19.0,20.0,1.0,Increase,Increase,Increase
GY318,,555.0,509.0,510.0,,46.0,45.0,-1.0,Increase,Decrease,Increase
GY319,,543.0,476.0,456.0,,67.0,87.0,20.0,Increase,Increase,Increase
GY320,,465.0,402.0,401.0,,63.0,64.0,1.0,Increase,Increase,Increase
GY321,,532.0,508.0,,,24.0,,,Increase,Course for 1 year only,Course for 1 year only
GY322,,485.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GY350,,495.0,403.0,425.0,,92.0,70.0,-22.0,Increase,Decrease,Increase
GY401,,522.0,465.0,444.0,,57.0,78.0,21.0,Increase,Increase,Increase
GY402,,533.0,455.0,509.0,,78.0,24.0,-54.0,Increase,Decrease,Increase
GY405,,541.0,454.0,443.0,,87.0,98.0,11.0,Increase,Increase,Increase
GY406,,555.0,510.0,509.0,,45.0,46.0,1.0,Increase,Increase,Increase
GY408,,554.0,509.0,519.0,,45.0,35.0,-10.0,Increase,Decrease,Increase
GY410,,431.0,403.0,434.0,,28.0,-3.0,-31.0,Increase,Decrease,Decrease
GY413,,509.0,502.0,532.0,,7.0,-23.0,-30.0,Increase,Decrease,Decrease
GY414,,433.0,405.0,454.0,,28.0,-21.0,-49.0,Increase,Decrease,Decrease
GY501,,737.0,728.0,726.0,,9.0,11.0,2.0,Increase,Increase,Increase
GY502,,601.0,555.0,532.0,,46.0,69.0,23.0,Increase,Increase,Increase
GY503,,578.0,543.0,529.0,,35.0,49.0,14.0,Increase,Increase,Increase
GY504,,531.0,443.0,434.0,,88.0,97.0,9.0,Increase,Increase,Increase
GY515,,502.0,476.0,442.0,,26.0,60.0,34.0,Increase,Increase,Increase
GY516,,475.0,440.0,388.0,,35.0,87.0,52.0,Increase,Increase,Increase
GY517,,520.0,495.0,429.0,,25.0,91.0,66.0,Increase,Increase,Increase
LY108,,312.0,309.0,318.0,,3.0,-6.0,-9.0,Increase,Decrease,Decrease
LY118,,288.0,290.0,287.0,,-2.0,1.0,3.0,Decrease,Increase,Increase
LY128,,261.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
LY208,,300.0,300.0,300.0,,0.0,0.0,0.0,No change,No change,No change
LY228,,290.0,300.0,278.0,,-10.0,12.0,22.0,Decrease,Increase,Increase
LY408,,301.0,320.0,307.0,,-19.0,-6.0,13.0,Decrease,Increase,Decrease
LY508,,283.0,276.0,270.0,,7.0,13.0,6.0,Increase,Increase,Increase
LY518,,304.0,301.0,307.0,,3.0,-3.0,-6.0,Increase,Decrease,Decrease
LY528,,262.0,271.0,267.0,,-9.0,-5.0,4.0,Decrease,Increase,Decrease
LY538,,234.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
LY608,,300.0,300.0,304.0,,0.0,-4.0,-4.0,No change,Decrease,Decrease
LY618,,321.0,312.0,307.0,,9.0,14.0,5.0,Increase,Increase,Increase
LY708,,320.0,306.0,300.0,,14.0,20.0,6.0,Increase,Increase,Increase
LY748,,316.0,317.0,,,-1.0,,,Decrease,Course for 1 year only,Course for 1 year only
LY818,,302.0,303.0,302.0,,-1.0,0.0,1.0,Decrease,Increase,No change
LY828,,308.0,307.0,300.0,,1.0,8.0,7.0,Increase,Increase,Increase
LY908,,429.0,400.0,383.0,,29.0,46.0,17.0,Increase,Increase,Increase
LY918,,367.0,357.0,291.0,,10.0,76.0,66.0,Increase,Increase,Increase
LY928,,357.0,326.0,288.0,,31.0,69.0,38.0,Increase,Increase,Increase
LY968,,288.0,303.0,300.0,,-15.0,-12.0,3.0,Decrease,Increase,Decrease
LY978,,279.0,280.0,260.0,,-1.0,19.0,20.0,Decrease,Increase,Increase
MI001,,209.0,375.0,345.0,,-166.0,-136.0,30.0,Decrease,Increase,Decrease
MI002,,280.0,300.0,300.0,,-20.0,-20.0,0.0,Decrease,No change,Decrease
MI004,,589.0,577.0,,,12.0,,,Increase,Course for 1 year only,Course for 1 year only
MI005,,522.0,495.0,473.0,,27.0,49.0,22.0,Increase,Increase,Increase
MI006,,485.0,456.0,442.0,,29.0,43.0,14.0,Increase,Increase,Increase
MI007,,409.0,357.0,366.0,,52.0,43.0,-9.0,Increase,Decrease,Increase
MI008,,590.0,588.0,543.0,,2.0,47.0,45.0,Increase,Increase,Increase
MI009,,434.0,402.0,392.0,,32.0,42.0,10.0,Increase,Increase,Increase
MI010,,370.0,368.0,326.0,,2.0,44.0,42.0,Increase,Increase,Increase
MI011,,407.0,409.0,377.0,,-2.0,30.0,32.0,Decrease,Increase,Increase
MI012,,387.0,401.0,398.0,,-14.0,-11.0,3.0,Decrease,Increase,Decrease
MI013,,509.0,444.0,433.0,,65.0,76.0,11.0,Increase,Increase,Increase
MI014,,476.0,434.0,,,42.0,,,Increase,Course for 1 year only,Course for 1 year only
CI110,,292.0,310.0,,,-18.0,,,Decrease,Course for 1 year only,Course for 1 year only
CI111,,290.0,301.0,,,-11.0,,,Decrease,Course for 1 year only,Course for 1 year only
CI112,,325.0,311.0,,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
LC110,,794.0,740.0,734.0,,54.0,60.0,6.0,Increase,Increase,Increase
LC114,,914.0,880.0,900.0,,34.0,14.0,-20.0,Increase,Decrease,Increase
LC115,,993.0,942.0,,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
LC220,,263.0,262.0,254.0,,1.0,9.0,8.0,Increase,Increase,Increase
LC223,,331.0,307.0,308.0,,24.0,23.0,-1.0,Increase,Decrease,Increase
LC224,,300.0,300.0,299.0,,0.0,1.0,1.0,No change,Increase,Increase
LC225,,298.0,298.0,298.0,,0.0,0.0,0.0,No change,No change,No change
LC226,,255.0,234.0,216.0,,21.0,39.0,18.0,Increase,Increase,Increase
LC233,,280.0,272.0,300.0,,8.0,-20.0,-28.0,Increase,Decrease,Decrease
LC234,,226.0,225.0,219.0,,1.0,7.0,6.0,Increase,Increase,Increase
LC236,,260.0,262.0,298.0,,-2.0,-38.0,-36.0,Decrease,Decrease,Decrease
LC239,,317.0,307.0,335.0,,10.0,-18.0,-28.0,Increase,Decrease,Decrease
LC241,,326.0,255.0,276.0,,71.0,50.0,-21.0,Increase,Decrease,Increase
LC242,,308.0,282.0,292.0,,26.0,16.0,-10.0,Increase,Decrease,Increase
LC243,,278.0,294.0,281.0,,-16.0,-3.0,13.0,Decrease,Increase,Decrease
LC248,,300.0,288.0,307.0,,12.0,-7.0,-19.0,Increase,Decrease,Decrease
LC252,,264.0,270.0,281.0,,-6.0,-17.0,-11.0,Decrease,Decrease,Decrease
LC263,,391.0,294.0,282.0,,97.0,109.0,12.0,Increase,Increase,Increase
LC265,,498.0,413.0,335.0,,85.0,163.0,78.0,Increase,Increase,Increase
LC266,,252.0,262.0,236.0,,-10.0,16.0,26.0,Decrease,Increase,Increase
LC275,,361.0,298.0,288.0,,63.0,73.0,10.0,Increase,Increase,Increase
LC288,,378.0,347.0,307.0,,31.0,71.0,40.0,Increase,Increase,Increase
LC289,,261.0,291.0,280.0,,-30.0,-19.0,11.0,Decrease,Increase,Decrease
LC292,,374.0,367.0,360.0,,7.0,14.0,7.0,Increase,Increase,Increase
LC293,,271.0,307.0,299.0,,-36.0,-28.0,8.0,Decrease,Increase,Decrease
LC294,,279.0,279.0,271.0,,0.0,8.0,8.0,No change,Increase,Increase
LC295,,262.0,252.0,263.0,,10.0,-1.0,-11.0,Increase,Decrease,Decrease
LC297,,272.0,235.0,217.0,,37.0,55.0,18.0,Increase,Increase,Increase
LC320,,381.0,346.0,337.0,,35.0,44.0,9.0,Increase,Increase,Increase
LC330,,328.0,297.0,298.0,,31.0,30.0,-1.0,Increase,Decrease,Increase
LC340,,391.0,350.0,298.0,,41.0,93.0,52.0,Increase,Increase,Increase
LC362,,429.0,413.0,379.0,,16.0,50.0,34.0,Increase,Increase,Increase
LC371,,325.0,309.0,298.0,,16.0,27.0,11.0,Increase,Increase,Increase
LC372,,377.0,325.0,321.0,,52.0,56.0,4.0,Increase,Increase,Increase
LC374,,337.0,318.0,317.0,,19.0,20.0,1.0,Increase,Increase,Increase
LC375,,309.0,317.0,321.0,,-8.0,-12.0,-4.0,Decrease,Decrease,Decrease
LC376,,357.0,318.0,308.0,,39.0,49.0,10.0,Increase,Increase,Increase
LC380,,298.0,303.0,282.0,,-5.0,16.0,21.0,Decrease,Increase,Increase
LC392,,328.0,236.0,217.0,,92.0,111.0,19.0,Increase,Increase,Increase
LC393,,309.0,236.0,260.0,,73.0,49.0,-24.0,Increase,Decrease,Increase
LC402,,228.0,225.0,209.0,,3.0,19.0,16.0,Increase,Increase,Increase
LC408,,279.0,279.0,262.0,,0.0,17.0,17.0,No change,Increase,Increase
LC416,,260.0,274.0,,,-14.0,,,Decrease,Course for 1 year only,Course for 1 year only
LC418,,260.0,270.0,271.0,,-10.0,-11.0,-1.0,Decrease,Decrease,Decrease
LC422,,289.0,298.0,288.0,,-9.0,1.0,10.0,Decrease,Increase,Increase
LC502,,841.0,852.0,838.0,,-11.0,3.0,14.0,Decrease,Increase,Increase
LC517,,279.0,234.0,229.0,,45.0,50.0,5.0,Increase,Increase,Increase
LC518,,807.0,808.0,816.0,,-1.0,-9.0,-8.0,Decrease,Decrease,Decrease
LC612,,309.0,320.0,319.0,,-11.0,-10.0,1.0,Decrease,Increase,Decrease
LM002,,360.0,348.0,329.0,,12.0,31.0,19.0,Increase,Increase,Increase
LM019,,451.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
LM020,,474.0,465.0,436.0,,9.0,38.0,29.0,Increase,Increase,Increase
LM026,,329.0,303.0,307.0,,26.0,22.0,-4.0,Increase,Decrease,Increase
LM028,,420.0,418.0,387.0,,2.0,33.0,31.0,Increase,Increase,Increase
LM029,,530.0,490.0,473.0,,40.0,57.0,17.0,Increase,Increase,Increase
LM038,,530.0,500.0,478.0,,30.0,52.0,22.0,Increase,Increase,Increase
LM039,,432.0,402.0,388.0,,30.0,44.0,14.0,Increase,Increase,Increase
LM040,,409.0,369.0,350.0,,40.0,59.0,19.0,Increase,Increase,Increase
LM044,,429.0,442.0,404.0,,-13.0,25.0,38.0,Decrease,Increase,Increase
LM050,,451.0,431.0,419.0,,20.0,32.0,12.0,Increase,Increase,Increase
LM056,,555.0,528.0,511.0,,27.0,44.0,17.0,Increase,Increase,Increase
LM058,,468.0,403.0,434.0,,65.0,34.0,-31.0,Increase,Decrease,Increase
LM063,,410.0,379.0,372.0,,31.0,38.0,7.0,Increase,Increase,Increase
LM066,,430.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
