code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
TR004,,590.0,566.0,532.0,,24.0,58.0,34.0,Increase,Increase,Increase
TR005,,510.0,442.0,391.0,,68.0,119.0,51.0,Increase,Increase,Increase
TR006,,601.0,567.0,555.0,,34.0,46.0,12.0,Increase,Increase,Increase
TR007,,564.0,529.0,499.0,,35.0,65.0,30.0,Increase,Increase,Increase
TR009,,496.0,420.0,430.0,,76.0,66.0,-10.0,Increase,Decrease,Increase
TR015,,613.0,589.0,566.0,,24.0,47.0,23.0,Increase,Increase,Increase
TR016,,389.0,340.0,337.0,,49.0,52.0,3.0,Increase,Increase,Increase
TR018,,602.0,565.0,532.0,,37.0,70.0,33.0,Increase,Increase,Increase
TR019,,577.0,543.0,523.0,,34.0,54.0,20.0,Increase,Increase,Increase
TR021,,467.0,370.0,377.0,,97.0,90.0,-7.0,Increase,Decrease,Increase
TR022,,377.0,398.0,347.0,,-21.0,30.0,51.0,Decrease,Increase,Increase
TR023,,546.0,487.0,463.0,,59.0,83.0,24.0,Increase,Increase,Increase
TR024,,566.0,544.0,520.0,,22.0,46.0,24.0,Increase,Increase,Increase
TR025,,543.0,564.0,489.0,,-21.0,54.0,75.0,Decrease,Increase,Increase
TR028,,498.0,342.0,339.0,,156.0,159.0,3.0,Increase,Increase,Increase
